nohup: ignoring input
127.0.0.1 - - [24/Dec/2025 16:21:58] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:21:58] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:21:58] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:22:58] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:22:58] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:22:58] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:22:58] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:23:58] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:23:58] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:23:58] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:23:58] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:24:58] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:24:59] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:00] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:01] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:09] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
